price;temperature;load
2.403;3.6;2.626039348
2.402;3.3;2.403120903
2.319;2.8;2.448343492
2.41;2.8;2.431935425
2.501;2.4;2.447838468
2.562;2.1;2.458289809
2.587;1.9;2.473736294
2.618;1.8;2.492146923
2.574;1.7;2.510917503
2.689;1.3;2.582648419
2.748;1.3;2.587980099
2.804;1;2.638266463
2.87;0;2.803536913
2.966;-0.9;2.736213098
3.038;0;2.831990645
3.08;-1.1;2.733948561
3.093;-0.1;2.830779248
3.078;0;2.838388225
3.051;-0.3;2.804687325
3.019;-1;2.736146893
2.994;-1.5;2.685984023
2.965;-2.4;2.587098048
2.936;-3.1;2.510682102
2.94;-3.8;2.434150789
2.891;-4.1;2.30562425
2.811;-3.8;2.234238083
2.789;-3.6;2.191266757
2.826;-3.6;2.165183591
3.043;-3.5;2.096466553
3.285;-3.5;1.993304096
3.391;-3.4;1.92470936
3.487;-3.2;1.886706506
3.522;-2.9;1.874045422
3.541;-2.6;1.865538793
3.507;-2.6;1.8804534
3.485;-2.5;1.887599958
3.47;-2.6;1.893619162
3.48;-2.7;1.889572057
3.593;-2.7;1.842511839
3.752;-3.2;1.778057964
3.848;-3.5;1.739286541
3.688;-3.9;1.82075519
3.552;-4.2;1.874811371
3.523;-4.6;1.884574389
3.474;-4.8;1.904849028
3.299;-5.2;1.972778686
3.094;-5.4;2.040646764
3.065;-5.6;2.04560634
3.037;-6.2;2.057805397
3.015;-6.1;2.063462075
3.014;-6.1;2.063288788
3.04;-6.1;2.05468161
3.224;-6.2;1.992419272
3.35;-6;1.950589847
3.58;-5.9;1.861672511
3.678;-5.7;1.825973048
3.617;-5.6;1.855229532
3.54;-5.4;1.884017333
3.492;-5.4;1.901181539
3.481;-5.3;1.903516472
3.409;-5.3;1.931806483
3.425;-5.1;1.921900154
3.451;-5.9;1.917251061
3.495;-7;1.906749709
3.459;-8.5;1.931272097
3.406;-9.8;1.95779244
3.293;-8.6;1.990228473
3.18;-8.7;2.028194734
3.051;-9.7;2.074348638
2.927;-4;2.098293712
2.846;-3.9;2.12952909
2.593;-4.1;2.204186166
2.541;-4.8;2.227627913
2.535;-5.8;2.220898562
2.545;-5.8;2.216442467
2.597;-8.7;2.182726107
2.787;-9.6;2.138225368
2.892;-10.4;2.116883342
3.065;-10.8;2.068455185
3.213;-10.6;2.021197629
3.327;-10.6;1.984514851
3.352;-11.8;1.986099713
3.393;-12.8;1.994819575
3.393;-13.8;2.027244421
3.394;-14.5;2.037875329
3.415;-15.5;2.069294491
3.53;-16.8;2.087692763
3.628;-17.5;2.089603638
3.681;-17.9;2.10121488
3.555;-18;2.132433605
3.45;-17.8;2.118440643
3.389;-17.7;2.137878228
3.302;-17.8;2.146983602
3.233;-17.8;2.153380486
3.044;-17.7;2.175724054
3.051;-17.8;2.163090916
3.023;-17.8;2.177355211
3;-17.9;2.175614842
3.006;-17.6;2.160687156
3.061;-17.3;2.147459007
3.245;-17.3;2.122124517
3.487;-17.7;2.111633586
4.207;-18;2.001191301
4.338;-17.9;2.162645222
4.204;-17.3;1.864256761
4.304;-16.8;2.252610585
4.454;-16.3;1.634445359
4.456;-15.9;2.53234483
4.466;-16.2;1.383265523
4.499;-16.3;3.158032842
5.61;-16.6;1.331689641
6.97;-16.8;3.363680602
7.392;-17.1;1.470191532
7.199;-17.2;3.137192389
5.008;-17.4;1.40574397
4.489;-17.9;3.529226049
4.205;-18.1;1.670343914
3.722;-18.3;2.853136967
3.465;-19.1;1.942399562
3.584;-19.6;2.499092726
3.554;-19.3;1.921360255
3.459;-18.4;2.39970603
3.428;-18.8;1.991365511
3.416;-20.1;2.490002908
3.259;-20.1;2.030679057
3.432;-20.4;2.46335722
3.397;-20.5;2.032015347
3.4;-19.6;2.384791352
3.405;-19.2;2.022594652
3.455;-17.2;2.177033903
3.458;-16.2;2.00853489
3.416;-15.4;2.0815878
3.392;-15.9;2.067009823
3.388;-16.6;2.112190698
3.492;-17.7;2.118541603
3.495;-16.8;2.06040609
3.473;-16.3;2.07942569
3.471;-16.5;2.077161723
3.342;-6.7;1.949717591
3.213;-7.1;2.010821999
3.156;-7.4;2.027234313
3.018;-7.5;2.072842872
2.901;-7.1;2.10172246
2.935;-6.7;2.087053736
2.888;-5.8;2.097318219
2.828;-5.3;2.113122603
2.784;-5;2.134421364
2.804;-5.1;2.132993075
2.864;-5.2;2.113997596
2.91;-5.4;2.09229335
2.949;-5.2;2.078014237
2.997;-4.9;2.06449123
3.072;-4.4;2.043856439
3.147;-3.9;2.020471708
3.19;-3.1;2.011653434
3.152;-2.7;2.028721219
3.132;-2.5;2.043322465
3.185;-2.1;2.0353328
3.283;-1.5;2.007717928
3.462;-0.5;1.94830579
3.518;-0.3;1.911806442
3.428;-0.6;1.932600048
3.335;-0.6;1.973601126
3.267;-1;2.00359908
3.255;-1.4;2.010228898
3.184;-2;2.027949708
3.06;-2.1;2.073221987
3.075;-1.9;2.083722004
3.064;-1.8;2.091742049
3.053;-1.6;2.100497616
3.054;-1.5;2.104133063
3.063;-1.4;2.103707573
3.07;-1.4;2.101327732
3.077;-1;2.106971313
3.058;-0.7;2.128816184
3.075;-0.4;2.151336444
3.109;-0.4;2.157852943
3.193;-1;2.112626904
3.099;-0.8;2.116116552
3.096;-0.2;2.142019977
3.087;0.7;2.1967133
3.085;0.9;2.246551724
3.096;0.8;2.337098367
3.16;0.8;2.54188065
3.184;1.6;2.531675806
3.146;1.5;2.551072255
3.115;1.6;2.531383079
3.083;1.7;2.511365929
3.095;1.8;2.491834544
3.055;1.5;2.550454506
2.989;1.3;2.589491186
2.956;1;2.649383114
2.911;0.7;2.695643454
2.899;0.2;2.773476851
2.916;0;2.811586355
2.971;-0.3;2.791651765
3.041;-0.4;2.793599064
3.485;-0.5;2.820914535
4.312;-0.5;2.849173469
3.615;-0.3;2.851569698
3.565;0.2;2.841425585
3.55;0.5;2.773132603
3.396;0.7;2.723047459
3.311;0.9;2.677731809
3.273;1.2;2.614005847
3.383;1.3;2.594338082
3.612;1.5;2.5544886
3.616;1.8;2.49122394
3.613;1.9;2.470602391
3.618;1.9;2.470581284
3.141;1.9;2.472467175
3.05;1.6;2.531112229
3.007;1.7;2.511251911
2.957;1.8;2.491962059
2.883;1.7;2.511147216
2.616;1.9;2.473686886
2.557;1.8;2.492177767
2.549;1.8;2.492181762
2.557;2;2.46768241
2.777;2.4;2.384932518
2.893;2.6;2.344625416
3.208;3;2.26491999
3.99;3;2.237631013
3.493;2.9;2.275139373
3.181;2.7;2.321223197
3.114;2.6;2.341001169
3.106;2.8;2.30517696
3.099;2.5;2.35974371
3.1;2.1;2.434433892
3.101;1.5;2.550764896
3.198;1.9;2.472254635
3.207;1.9;2.472220776
3.119;1.4;2.570747067
3.102;1.2;2.611391776
