""
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
,lstm_size,num_lstm,dropout,activation,recurrent_activation,optimizer,rmse,mape
0,20,1,0.0,selu,elu,rmsprop,0.1622545107244635,6.4449079574629415
1,40,1,0.30000000000000004,relu,sigmoid,adadelta,0.16538412782578946,6.841143726493853
2,30,1,0.2,sigmoid,relu,adagrad,0.16637054512176003,6.89543755843785
3,40,2,0.30000000000000004,selu,hard_sigmoid,sgd,0.20822464645559852,7.49068875571
4,40,2,0.1,hard_sigmoid,relu,sgd,0.18563762860888822,7.509281072150804
5,20,1,0.0,elu,elu,adam,0.16730881714037282,7.903907402748538
6,10,3,0.1,relu,hard_sigmoid,rmsprop,0.20704810352258485,11.381566292345633
7,30,4,0.30000000000000004,sigmoid,elu,sgd,0.20909193549007465,11.740724601707148
8,10,3,0.2,selu,relu,adadelta,0.3845144393873102,21.583676835684727
9,10,4,0.0,elu,tanh,adadelta,0.7233732872581818,46.55028954602354
0,40,1,0.30000000000000004,elu,elu,adam,0.17249947147594274,6.308408792304132
1,20,1,0.30000000000000004,elu,sigmoid,adam,0.17962852501835544,6.346510721208586
2,20,1,0.0,selu,elu,rmsprop,0.1622545107244635,6.4449079574629415
3,40,1,0.0,elu,elu,adadelta,0.16818497266292373,6.618817749877037
4,40,1,0.30000000000000004,relu,sigmoid,adadelta,0.16538412782578946,6.841143726493853
5,30,1,0.2,sigmoid,relu,adagrad,0.16637054512176003,6.89543755843785
6,40,1,0.0,relu,elu,adadelta,0.16892827055623075,7.31922182782437
7,20,1,0.0,elu,elu,adam,0.20822464645559852,7.49068875571
8,10,4,0.0,elu,tanh,adadelta,0.18563762860888822,7.509281072150804
9,20,1,0.0,selu,elu,adam,0.2110680644311529,7.553530641567972
0,20,1,0.30000000000000004,elu,elu,adam,0.16964758653584644,5.897902071284752
1,20,1,0.0,elu,elu,adam,0.164069677508709,5.934586572216478
2,20,1,0.30000000000000004,relu,sigmoid,adadelta,0.16601326399132674,5.972495060642524
