Temperature;Price
4,58;2,57
4,41;2,561
4,28;2,549
4,19;2,525
4,09;2,563
4,01;2,588
3,96;2,658
3,88;2,664
4,13;2,67
4,78;2,689
5,35;2,78
6,11;2,81
4,88;2,836
5,35;2,871
5,54;2,965
5,33;3,038
4,48;3,077
4,23;3,092
3,89;3,077
2,91;3,05
2,79;3,019
2,86;2,994
2,89;2,965
2,88;2,936
2,89;2,942
2,93;2,895
2,95;2,822
3;2,822
2,98;2,892
2,83;3,047
2,81;3,209
2,74;3,307
2,85;3,392
3,3;3,438
3,87;3,417
4,53;3,405
5,12;3,364
5,42;3,359
5,48;3,381
5,25;3,449
4,71;3,516
4,48;3,58
4,35;3,483
4,1;3,393
3,8;3,342
3,54;3,309
3,26;3,212
3;3,093
2,82;3,065
2,64;3,037
2,48;3,015
2,28;3,014
2,15;3,041
2,02;3,13
1,85;3,214
1,7;3,372
1,73;3,439
2,2;3,38
2,63;3,324
2,86;3,278
3,16;3,258
3,38;3,22
3,45;3,212
3,3;3,21
2,66;3,231
2,5;3,218
2,35;3,187
2,2;3,129
2,08;3,069
1,96;3,006
1,78;2,927
1,63;2,83
1,47;2,663
1,32;2,62
1,16;2,586
0,99;2,598
0,83;2,636
0,7;2,762
0,56;2,884
0,45;3,043
0,37;3,13
0,52;3,181
1,12;3,195
1,66;3,216
2,19;3,205
2,43;3,208
2,67;3,249
2,37;3,332
1,66;3,41
1,26;3,45
0,87;3,38
0,53;3,28
0,28;3,211
0,15;3,172
0,07;3,136
-0,03;3,058
-0,13;3,047
-0,2;3,018
-0,32;2,997
-0,52;3,002
-0,72;3,057
-0,76;3,148
-0,87;3,35
-0,95;3,808
-0,75;4,166
0,78;4,129
1,51;4,226
2,04;4,296
2,56;4,237
2,88;4,283
2,55;4,308
1,5;4,493
0,47;5,064
0,13;5,041
-0,15;4,811
-0,56;4,575
-0,75;4,201
-0,99;3,784
-1,39;3,495
-1,69;3,332
-1,98;3,319
-2,2;3,276
-2,52;3,194
-2,82;3,186
-3,08;3,179
-3,3;3,157
-3,43;3,255
-3,63;3,294
-3,44;3,327
-2,24;3,33
-0,14;3,339
1,19;3,298
2,02;3,277
2,47;3,261
2,24;3,239
1,45;3,258
0,47;3,276
-0,19;3,276
-0,79;3,233
-1,33;3,153
-1,8;3,095
-2,27;3,043
-2,63;2,978
-2,42;2,886
-2,45;2,913
-2,86;2,84
-3,2;2,789
-3,4;2,736
-3,62;2,77
-3,8;2,825
-3,9;2,88
-4,04;2,929
-3,78;2,985
-2,25;3,041
-0,38;3,077
1,34;3,094
3,05;3,086
3,54;3,08
3,27;3,098
2,59;3,156
1,54;3,254
0,89;3,292
0,26;3,26
-0,28;3,197
-0,76;3,144
-1,3;3,124
-1,88;3,098
-2,34;3,05
-2,37;3,062
-2,67;3,049
-3,11;3,028
-3,55;3,029
-3,85;3,046
-4,04;3,054
-4,17;3,063
-4,17;3,038
-3,63;3,06
-1,7;3,084
0,92;3,118
2,82;3,091
3,78;3,089
4,32;3,079
4,18;3,075
3,58;3,085
2,5;3,116
1,72;3,138
1,15;3,111
0,61;3,092
0,14;3,069
-0,43;3,08
-1,04;3,03
-1,53;2,972
-1,72;2,937
-2,05;2,894
-2,6;2,881
-2,9;2,898
-3,2;2,952
-3,32;3,023
-3,45;3,076
-3,64;3,226
-3,18;3,301
-1,09;3,281
1,67;3,271
3,62;3,219
3,06;3,196
3,75;3,178
3,56;3,161
2,87;3,191
1,78;3,203
1,13;3,195
0,53;3,147
0,02;3,084
-0,6;3,033
-0,93;2,997
-1,29;2,949
-1,75;2,869
-2,24;2,695
-2,69;2,622
-3,04;2,625
-3,13;2,623
-3,24;2,758
-3,27;2,884
-3,34;2,984
-3,4;3,108
-3,02;3,135
-1,05;3,118
0,85;3,108
2,74;3,102
3,88;3,091
4,9;3,092
4,46;3,093
3,19;3,099
1,98;3,117
1,29;3,12
0,59;3,097
-0,06;3,038
-0,7;2,968
-1,34;2,942
-2,1;2,907
-2,04;2,8
-2,35;2,535
-2,94;2,454
-3,42;2,422
-3,72;2,423
-4,04;2,468
-4,2;2,584
-4,3;2,801
-4,24;2,899
-3,96;2,917
-2,3;2,919
-0,2;2,923
1,79;2,923
2,89;2,924
3,66;2,917
3,87;2,92
3,45;2,927
2,54;2,947
1,91;2,961
1,24;2,94
0,37;2,906
-0,01;2,854
-0,32;2,786
-0,56;2,664
-0,6;2,504
-0,61;2,348
-0,54;2,318
-0,38;2,316
-0,14;2,32
0,22;2,399
0,61;2,534
0,97;2,839
0,86;2,95
1,17;2,989
3,28;2,964
5,13;2,962
6,42;2,955
5,92;2,951
6,29;2,952
6,49;2,965
6,27;2,985
5,02;3,03
4,52;3,056
4;3,037
3,52;2,973
3,08;2,943
